idZone,nameZone,idQuartier,piece,epoque,type,ref_2015,ref_2016,refmin_2015,refmin_2016,refmaj_2015,refmaj_2016
7,Javel,60,1 pièce,avant 1946,Meublée,29.3,28.8,20.5,20.2,35.2,34.6
7,Auteuil,61,1 pièce,avant 1946,Meublée,29.3,28.8,20.5,20.2,35.2,34.6
8,Saint-Lambert,57,1 pièce,avant 1946,Meublée,28.7,30.2,20.1,21.1,34.4,36.2
9,Picpus,46,1 pièce,avant 1946,Meublée,28.0,28.7,19.6,20.1,33.6,34.4
9,Grandes-Carrières,69,1 pièce,avant 1946,Meublée,28.0,28.7,19.6,20.1,33.6,34.4
9,Clignancourt,70,1 pièce,avant 1946,Meublée,28.0,28.7,19.6,20.1,33.6,34.4
10,Jardin-des-Plantes,18,1 pièce,avant 1946,Meublée,30.0,30.1,21.0,21.1,36.0,36.1
10,Saint-Ambroise,42,1 pièce,avant 1946,Meublée,30.0,30.1,21.0,21.1,36.0,36.1
10,Sainte-Marguerite,44,1 pièce,avant 1946,Meublée,30.0,30.1,21.0,21.1,36.0,36.1
10,Salpétrière,49,1 pièce,avant 1946,Meublée,30.0,30.1,21.0,21.1,36.0,36.1
10,Petit-Montrouge,55,1 pièce,avant 1946,Meublée,30.0,30.1,21.0,21.1,36.0,36.1
10,Batignolles,67,1 pièce,avant 1946,Meublée,30.0,30.1,21.0,21.1,36.0,36.1
11,Porte-Saint-Martin,39,1 pièce,avant 1946,Meublée,31.3,32.3,21.9,22.6,37.6,38.8
11,Hôpital-Saint-Louis,40,1 pièce,avant 1946,Meublée,31.3,32.3,21.9,22.6,37.6,38.8
11,Folie-Méricourt,41,1 pièce,avant 1946,Meublée,31.3,32.3,21.9,22.6,37.6,38.8
11,Roquette,43,1 pièce,avant 1946,Meublée,31.3,32.3,21.9,22.6,37.6,38.8
11,Quinze-Vingts,48,1 pièce,avant 1946,Meublée,31.3,32.3,21.9,22.6,37.6,38.8
11,Parc-de-Montsouris,54,1 pièce,avant 1946,Meublée,31.3,32.3,21.9,22.6,37.6,38.8
11,Epinettes,68,1 pièce,avant 1946,Meublée,31.3,32.3,21.9,22.6,37.6,38.8
11,Goutte-d'Or,71,1 pièce,avant 1946,Meublée,31.3,32.3,21.9,22.6,37.6,38.8
11,Belleville,77,1 pièce,avant 1946,Meublée,31.3,32.3,21.9,22.6,37.6,38.8
